Model_Name,Checkpoint_Path,Status,Error_Message,Overall_Accuracy,Total_Samples,Total_Correct,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_0_Support,Class_1_Support,Class_2_Support,Class_0_Correct,Class_1_Correct,Class_2_Correct,Confusion_Matrix_00,Confusion_Matrix_01,Confusion_Matrix_02,Confusion_Matrix_10,Confusion_Matrix_11,Confusion_Matrix_12,Confusion_Matrix_20,Confusion_Matrix_21,Confusion_Matrix_22,Precision_Class_0,Precision_Class_1,Precision_Class_2,Recall_Class_0,Recall_Class_1,Recall_Class_2,F1_Score_Class_0,F1_Score_Class_1,F1_Score_Class_2,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model.ckpt,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_last_epoch_model.ckpt-499,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\last_epoch_model.ckpt-499,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_255_acc_0.6678,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_255_acc_0.6678.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_429_acc_0.7961,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_429_acc_0.7961.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_246_acc_0.6612,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_246_acc_0.6612.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_model.ckpt-440,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\model.ckpt-440,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_429_acc_0.796_c0.660.790.97,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_429_acc_0.796_c0.660.790.97.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_427_acc_0.763_c0.680.710.93,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_427_acc_0.763_c0.680.710.93.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_quality_epoch_417_acc_0.717_c0.680.690.80,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\quality_epoch_417_acc_0.717_c0.680.690.80.ckpt,SUCCESS,,0.583333333,12,7,1,0.625,0,2,8,2,2,5,0,2,0,0,3,5,0,0,2,0,0.4,0.714285714,0,1,0.625,0,0.571428571,0.666666667,0,0.371428571,0.541666667,0.412698413,0.542857143,0.583333333,0.53968254
pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020_best_model_epoch_255_acc_0.6678,log/pointnet_with_normals_improved_3_classes_enhanced_saving_20250929-032020\best_model_epoch_255_acc_0.6678.ckpt,SUCCESS,,0.583333333,12,7,0.5,0.625,0.5,2,8,2,1,5,1,1,1,0,3,5,0,0,1,1,0.25,0.714285714,1,0.5,0.625,0.5,0.333333333,0.666666667,0.666666667,0.654761905,0.541666667,0.555555556,0.68452381,0.583333333,0.611111111
